311852025;;;;1878584;B2B - Bucle;Concluído;B2B GPON;31185;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312492025; $2 056,00 ;01/02/2025;
311862025;;;;1956489;B2B - Bucle;Concluído;B2B GPON;31186;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312272025; $2 056,00 ;01/02/2025;
311872025;;;;1960004;B2B - Bucle;Concluído;B2B GPON;31187;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312292025; $2 056,00 ;01/02/2025;
311882025;;;;1928997;B2B - Bucle;Concluído;B2B GPON;31188;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312302025; $2 056,00 ;01/02/2025;
311892025;;;;1-911697078902;B2B - Bucle;Concluído;B2B GPON;31189;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312502025; $2 056,00 ;01/02/2025;
311962025;;;;1961929;B2B - Bucle;Concluído;B2B GPON;31196;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312522025; $2 056,00 ;01/02/2025;
312232025;;;;1958715;B2B - Bucle;Concluído;B2B GPON;31223;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312792025; $2 056,00 ;01/02/2025;
312242025;;;;1-909301807039;B2B - Bucle;Concluído;B2B GPON;31224;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313082025; $2 056,00 ;01/02/2025;
312252025;;;;1961374;B2B - Bucle;Concluído;B2B GPON;31225;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312822025; $2 056,00 ;01/02/2025;
312262025;;;;1-912575258844;B2B - Bucle;Concluído;B2B GPON;31226;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;314602025; $2 056,00 ;01/02/2025;
 ;;;;1904972;B2B - Bucle;Concluído;B2B GPON;32078;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;314712025; $2 056,00 ;01/04/2025;
312482025;;;;1-913021793390;B2B - Bucle;Concluído;B2B GPON;31248;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;314832025; $2 056,00 ;01/02/2025;
312492025;;;;1961431;B2B - Bucle;Concluído;B2B GPON;31249;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315612025; $2 056,00 ;01/02/2025;
312272025;;;;1957472;B2B - Bucle;Concluído;B2B GPON;31227;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313322025; $2 056,00 ;01/02/2025;
312292025;;;;1931143;B2B - Bucle;Concluído;B2B GPON;31229;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313362025; $2 056,00 ;01/02/2025;
312302025;;;;1-911186542909;B2B - Bucle;Concluído;B2B GPON;31230;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315632025; $2 056,00 ;01/02/2025;
312502025;;;;1-909331547712;B2B - Bucle;Concluído;B2B GPON;31250;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313442025; $2 056,00 ;01/02/2025;
312522025;;;;1963900;B2B - Bucle;Concluído;B2B GPON;31252;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313402025; $2 056,00 ;01/02/2025;
312792025;;;;1957120;B2B - Bucle;Concluído;B2B GPON;31279;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;313422025; $2 056,00 ;01/03/2025;
313082025;;;;1-913890708278;B2B - Bucle;Concluído;B2B GPON;31308;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315662025; $2 056,00 ;01/02/2025;
312822025;;;;1967319;B2B - Bucle;Concluído;B2B GPON;31282;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315942025; $2 056,00 ;01/02/2025;
314602025;;;;1967423;B2B - Bucle;Concluído;B2B GPON;31460;SAM - FATURADO ;53203 - PR - TLC - VIVO - OSP - CURITIBA (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315772025; $2 056,00 ;01/02/2025;
314712025;;;;1-910658974751;B2B - Bucle;Concluído;B2B GPON;31471;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315862025; $2 056,00 ;01/02/2025;
314832025;;;;1946476;B2B - Bucle;Concluído;B2B GPON;31483;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315892025; $2 056,00 ;01/02/2025;
315612025;;;;1-914245437656;B2B - Bucle;Concluído;B2B GPON;31561;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;315962025; $2 056,00 ;01/02/2025;
313322025;;;;1966450;B2B - Bucle;Concluído;B2B GPON;31332;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316022025; $2 056,00 ;01/02/2025;
313362025;;;;1-913205999434;B2B - Bucle;Concluído;B2B GPON;31336;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316172025; $2 056,00 ;01/02/2025;
315632025;;;;1968747;B2B - Bucle;Concluído;B2B GPON;31563;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316152025; $2 056,00 ;01/02/2025;
313442025;;;;1968181;B2B - Bucle;Concluído;B2B GPON;31344;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316262025; $2 056,00 ;01/02/2025;
313402025;;;;1967704;B2B - Bucle;Concluído;B2B GPON;31340;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316272025; $2 056,00 ;01/02/2025;
313422025;;;;1-912633203698;B2B - Bucle;Concluído;B2B GPON;31342;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316282025; $2 056,00 ;01/02/2025;
315662025;;;;1-913889427515;B2B - Bucle;Concluído;B2B GPON;31566;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316792025; $2 056,00 ;01/02/2025;
315942025;;;;1-913954170553;B2B - Bucle;Concluído;B2B GPON;31594;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;317182025; $2 056,00 ;01/03/2025;
315772025;;;;1971740;B2B - Bucle;Concluído;B2B GPON;31577;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316802025; $2 056,00 ;01/02/2025;
315862025;;;;1970799;B2B - Bucle;Concluído;B2B GPON;31586;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;316822025; $2 056,00 ;01/03/2025;
315892025;;;;1-911098394573;B2B - Bucle;Concluído;B2B GPON;31589;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;317212025; $2 056,00 ;01/03/2025;
315962025;;;;1946240;B2B - Bucle;Concluído;B2B GPON;31596;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;317202025; $2 056,00 ;01/03/2025;
316022025;;;;1968210;B2B - Bucle;Concluído;B2B GPON;31602;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;317232025; $2 056,00 ;01/03/2025;
316172025;;;;1969715;B2B - Bucle;Concluído;B2B GPON;31617;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316152025;;;;1970915;B2B - Bucle;Concluído;B2B GPON;31615;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316262025;;;;1-913873028605;B2B - Bucle;Concluído;B2B GPON;31626;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316272025;;;;1951766;B2B - Bucle;Concluído;B2B GPON;31627;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316282025;;;;1972986;B2B - Bucle;Concluído;B2B GPON;31628;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316792025;;;;1972980;B2B - Bucle;Concluído;B2B GPON;31679;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317182025;;;;1974091;B2B - Bucle;Concluído;B2B GPON;31718;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316802025;;;;1972066;B2B - Bucle;Concluído;B2B GPON;31680;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
316822025;;;;1-912636661674;B2B - Bucle;Concluído;B2B GPON;31682;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317212025;;;;1974236;B2B - Bucle;Concluído;B2B GPON;31721;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317202025;;;;1970825;B2B - Bucle;Concluído;B2B GPON;31720;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317232025;;;;1976388;B2B - Bucle;Concluído;B2B GPON;31723;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317282025;;;;1-912498847967;B2B - Bucle;Concluído;B2B GPON;31728;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317292025;;;;1975468;B2B - Bucle;Concluído;B2B GPON;31729;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;01/03/2025;
317482025;;;;1-916382845986;B2B - Bucle;Concluído;B2B GPON; 31748;SAM - FATURADO ;#N/D;EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $2 056,00 ;;
340128;;;;I15/I20;OSP Control;Concluído;INFRAESTRUTURA;28341;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;130199059; $24 999,89 ;31/05/2024;
530423;;;;REM-FSP|00034;OSP Control;Draft - Enviado para a Fila HQ - Cadastro;REORDENAMENTO;29297;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;OS não gerada; $6 220,46 ;31/10/2024;
530422;;;;GT2;OSP Control;Draft - Enviado para a Fila HQ - Cadastro;INFRAESTRUTURA;29302;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não gerada; $10 284,49 ;01/10/2024;
533700;;;;SITE PRYA2;OSP Control;Concluído;SITES;29544;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;130301425; $1 248,16 ;01/12/2024;
516331;;;;PRCTA_G1M16/PRCTA_I37;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;29960;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;130288229; $198 934,32 ;30/11/2024;
530420;;;;GT2-CTA;OSP Control;Draft - Devolvido para a Fila Empreiteira;INFRAESTRUTURA;29840;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não gerada; $15 324,19 ;01/10/2024;
530427;;;;GT2-CTA;OSP Control;"Draft -	Enviado para a Fila Reg. Aprovação";INFRAESTRUTURA;29842;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não gerada; $7 887,62 ;01/09/2024;
530430;;;;GT2-CTA;OSP Control;"Draft -	Enviado para a Fila Reg. Aprovação";INFRAESTRUTURA;29822;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não gerada; $2 764,16 ;01/09/2024;
530428;;;;PRCTA_I83/Rota KMZ;OSP Control;"Draft -	Enviado para a Fila Reg. Aprovação";INFRAESTRUTURA;30001;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não gerada; $7 929,59 ;01/09/2024;
530429;;;;Rota KMZ;OSP Control;"Draft -	Enviado para a Fila Reg. Aprovação";INFRAESTRUTURA;30002;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;OS não aprovada; $6 068,98 ;01/09/2024;
520722;;;;PRAUC_M18 ;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;30375;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);HARDSUN SERVICOS LTDA;Atividade Concluida no campo ;130296743; $70 658,55 ;31/12/2024;
530547;;;;PRPNIS_G1M01;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;30942;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;130298836; $49 572,14 ;01/01/2025;
2631887;;;;PRCTA_G1I36;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30332;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $1 709,03 ;31/12/2024;
2619244;;;;PRCTA_G1M06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30374;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);A.L TELECOM;Atividade Concluida no campo ;Não se aplica; $2 016,87 ;31/12/2024;
2640609;;;;PRCTA_O1A3G;OSP Regional;Concluído;INFRAESTRUTURA;30669;SAM - AGUARDANDO FATURAMENTO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Cleyton;Atividade Concluida no campo ;Não se aplica; $1 908,62 ;01/12/2024;
534465;;;;PRCTA_G1I81;OSP Control;Draft - Devolvido para a Fila Empreiteira;INFRAESTRUTURA;30400;SAM - PENDENTE VIVO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);A.L TELECOM;Atividade Concluida no campo ;OS não gerada; $28 286,83 ;01/02/2025;
520715;;;;PRCTA_G1I06;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;29771;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;130292204; $695 997,39 ;30/11/2024;
543444;;;;PRCTA_G1I68;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;31006;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130305961; $48 861,02 ;01/02/2025;
2664664;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31119;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $706,89 ;01/02/2025;
547967;;;;G1M08_ALÍVIO;OSP Control;Concluído;ALIVIO-CONSTRUÇÃO;31235;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);SULTECH;Atividade Concluida no campo ;130309160; $101 039,41 ;01/03/2025;
2670754;;;;PRCTA_G1I72;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31256;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $939,09 ;01/02/2025;
550882;;;;Construção rede interna Shopping Itália;OSP Control;Draft - Enviado para a Fila Cidade;INFRAESTRUTURA;31616;CANCELADO ;#N/D;;Atividade Pendente - Aguardando Aprovação (VIVO);OS não gerada; $15 355,80 ;;
550881;;;;Rede externa Shopping Itália;OSP Control;Draft - Enviado para a Fila Cidade;INFRAESTRUTURA;31593;CANCELADO ;#N/D;;Atividade Pendente - Aguardando Aprovação (VIVO);OS não gerada; $4 354,77 ;;
516912;;;;PRKOV-PRGT2;OSP Control;Concluído;SITES;29780;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);A.L TELECOM;Atividade Concluida no campo ;130292159; $27 784,32 ;01/12/2024;
528143;;;;PRHUF-PRATH;OSP Control;Cancelado;SITES;30096;CANCELADO ;#N/D;;Cancelado;;;;
527624;;;;PRYRN-PRYPD;OSP Control;Cancelado;SITES;30100;CANCELADO ;#N/D;;Cancelado;;;;
527625;;;;PRYCZ-PRYDR;OSP Control;Cancelado;SITES;30097;CANCELADO ;#N/D;;Cancelado;;;;
527620;;;;PRTTS-PRRBL;OSP Control;Cancelado;SITES;30047;CANCELADO ;#N/D;;Cancelado;;;;
527619;;;;RQBS-PRBDC;OSP Control;Cancelado;SITES;30048;CANCELADO ;#N/D;;Cancelado;;;;
527612;;;;PRCL1-PRCL3;OSP Control;Cancelado;SITES;30031;CANCELADO ;#N/D;;Cancelado;;;;
527618;;;;PRQAE-PRQAP;OSP Control;Cancelado;SITES;30034;CANCELADO ;#N/D;;Cancelado;;;;
549333;;;;PRNGG-PRPJR|OBRA|M2025EST_PRPJR_01|RA;OSP Control;Cancelado;SITES;31582;CANCELADO ;#N/D;;Cancelado;;;;
549371;;;;PRPNG-PRNGG|OBRA |M2025EST_PRNGG_01| RA;OSP Control;Cancelado;SITES;;CANCELADO ;#N/D;;Cancelado;;;;
527617;;;;PRQAE-PRQPD;OSP Control;Cancelado;SITES;30033;CANCELADO ;#N/D;;Cancelado;;;;
528786;;;;M2024_PRSH2_01 ;OSP Control;Cancelado;SITES;30076;CANCELADO ;#N/D;;Cancelado;;;;
527616;;;;PRKES-PRLGR;OSP Control;Cancelado;SITES;30032;CANCELADO ;#N/D;;Cancelado;;;;
527299;;;;M2024EST_PRYA2_01 ;OSP Control;Draft - Em levantamento;SITES;;CANCELADO ;#N/D;;Atividade Pendente Execução- TLSV;;;;
527719;;;;M2024EST_PRCKG_01;OSP Control;Draft - Em levantamento;SITES;;CANCELADO ;#N/D;;Atividade Pendente Execução- TLSV;;;;
538806;;;;KU3-KN3;OSP Control;Concluído;SITES;29800;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);SULTECH;Atividade Concluida no campo ;130304692; $3 583,44 ;01/10/2024;
546449;;;;SITE PRKEN;OSP Control;Concluído;SITES;31220;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;130310611; $6 268,80 ;01/03/2025;
546450;;;;SITE PRKEX;OSP Control;"Draft -	Enviado para a Fila Regional";SITES;31228;SAM - PENDENTE VIVO;80272 - PR - TLO - VIVO CONSTRUCAO DE ARD OU SITE (TLSV);;Atividade Pendente - Aguardando Aprovação (VIVO);; $21 856,11 ;;
546454;;;;SITE PRFEU;OSP Control;Cancelado;SITES;31214;CANCELADO ;#N/D;;Cancelado;; $9 012,21 ;;
552304;;;;PRYJI-PRYTA-PRYJI;OSP Control;Draft - Enviado para a Fila Cidade;SITES;32060;PENDENTE ANEXAR NO SAM;80272 - PR - TLO - VIVO CONSTRUCAO DE ARD OU SITE (TLSV);;Atividade Pendente - Aguardando Aprovação (VIVO);; $30 884,20 ;;
537537;;;;M2024EST_PRNIU_01;OSP Control;Concluído;SITES;30419;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Concluida no campo ;130304482; $24 744,69 ;31/01/2025;
527230;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30232;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130303972; $15 048,14 ;01/12/2024;
527231;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30234;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299405; $17 748,95 ;31/12/2024;
527233;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30235;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299406; $13 804,26 ;31/12/2024;
527234;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30236;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299556; $19 954,79 ;31/12/2024;
534067;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30303;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299425; $16 460,95 ;31/12/2024;
534068;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30304;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299426; $16 476,02 ;31/12/2024;
534072;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30305;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299479; $14 371,32 ;31/12/2024;
534075;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30406;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299571; $14 907,18 ;31/12/2024;
534078;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30306;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299490; $13 854,83 ;31/12/2024;
534082;;;;Prumada;OSP Control;Concluído;ADEQUAÇÃO PREDIAL;30319;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Giovanio;Atividade Concluida no campo ;130299427; $10 295,36 ;31/12/2024;
